TITLE,lat,long,,name,lat,long
Zurich,8.539559993,47.37706999,,natural history museum,38.8911158595083,-77.0260654028883
Lausanne,6.632219971,46.51960001,,national zoo,38.9288456423205,-77.0501402921750
Geneva,6.142749981,46.20832999,,botanical gardens,38.8880228415063,-77.012939982982
Montreux,6.910439982,46.43169001,,national portrait gallery,38.8977181229599,-77.0230511893943
Chateau de Chillon,6.927529982,46.41414001,,museum of american history,38.8911456609060,-77.0300723605591
Vevey,6.842970037,46.46227999,,library of congress,38.8887925342980,-77.0050086814459
Bern,7.440460014,46.94842997,,supreme court,38.8906590732099,-77.0044612605591
Lucerne,8.304370002,47.04953998,,capitol building,38.8898542222055,-77.0090898219154
Interlaken,7.85349002,46.68450003,,white house,38.8977013497442,-77.0365619865064
Jungfrau,7.962230007,46.53678,,washington monument,38.8894624726082,-77.0352143682301
Zermatt,7.748410039,46.02415998,,wwii memorial,38.8893951893229,-77.0405432918454
St. Moritz,9.838159986,46.49704997,,licoln memorial,38.8893229518007,-77.0502052190121
,,,,vietnam veterns memorial,38.8912946648361,-77.0477105267165
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
